FileName	ARTIST	TITLE	Release Year	Rolling Stone Rank	RS 5x20 subset	Lyric subset	YoutubeLink
ChuckBerry_RollOverBeethoven_1956	Chuck Berry	Roll Over Beethoven	1956	97	TRUE	TRUE	https://www.youtube.com/watch?v=kKlzUKLOm_U
TheBeastieBoys_Sabotage_1994	The Beastie Boys	Sabotage	1994	475	TRUE	FALSE	https://www.youtube.com/watch?v=YZ5yKJlhbiA
TheRollingStones_Satisfaction_1965	The Rolling Stones	Satisfaction	1965	2	TRUE	TRUE	https://www.youtube.com/watch?v=NEjkftp7J7I
BigStar_SeptemberGurls_1974	Big Star	September Gurls	1974	178	FALSE	FALSE	https://www.youtube.com/watch?v=BNKSs1J38EA
BigJoeTurner_ShakeRattleAndRoll_1954	Big Joe Turner	Shake, Rattle and Roll	1954	126	FALSE	FALSE	https://www.youtube.com/watch?v=YhELpSeeipg
TheBeatles_SheLovesYou_1963	The Beatles	She Loves You	1963	64	FALSE	FALSE	https://www.youtube.com/watch?v=1EDUoqi1JHM
TheClash_ShouldIStayOrShouldIGo_1982	The Clash	Should I Stay or Should I Go	1982	228	TRUE	TRUE	https://www.youtube.com/watch?v=BN1WwnEDWAM
TheIsleyBrothers_Shout_1959	The Isley Brothers	Shout (Parts 1 and 2)	1959	118	FALSE	FALSE	https://www.youtube.com/watch?v=nEjLFpU2pJ4
Nirvana_SmellsLikeTeenSpirit_1991	Nirvana	Smells Like Teen Spirit	1991	9	TRUE	TRUE	https://www.youtube.com/watch?v=hTWKbfoikeg
LedZeppelin_StairwayToHeaven_1971	Led Zeppelin	Stairway To Heaven	1971	31	TRUE	TRUE	https://www.youtube.com/watch?v=RCOdXYoCBo
BenEKing_StandByMe_1961	Ben E. King	Stand By Me	1961	121	FALSE	FALSE	https://www.youtube.com/watch?v=hwZNL7QVJjE
TheBeatles_StrawberryFieldsForever_1967	The Beatles	Strawberry Fields Forever	1967	76	FALSE	FALSE	https://www.youtube.com/watch?v=HtUH9z_Oey8
Pavement_SummerBabe_1992	Pavement	Summer Babe	1992	286	TRUE	TRUE	https://www.youtube.com/watch?v=vidwufHTXSY
EddieCochran_SummertimeBlues_1958	Eddie Cochran	Summertime Blues	1958	73	TRUE	TRUE	https://www.youtube.com/watch?v=BXb0YUJOxqg
Cream_SunshineOfYourLove_1968	Cream	Sunshine of Your Love	1968	65	FALSE	FALSE	https://www.youtube.com/watch?v=oPYot0Wk7UY
StevieWonder_Superstition_1972	Stevie Wonder	Superstition	1972	74	TRUE	TRUE	https://www.youtube.com/watch?v=JOFCpvIlpVk
ElvisPresley_SuspiciousMinds_1969	Elvis Presley	Suspicious Minds	1969	91	FALSE	FALSE	https://www.youtube.com/watch?v=3kgM5qGFd6o
GunsNRoses_SweetChildOMine_1987	Guns N' Roses	Sweet Child O' Mine	1987	196	TRUE	TRUE	https://www.youtube.com/watch?v=1w7OgIMMRc4
TheRollingStones_SympathyForTheDevil_1968	The Rolling Stones	Sympathy for the Devil	1968	32	TRUE	TRUE	https://www.youtube.com/watch?v=Jwtyn-L-2gQ
AlGreen_TakeMeToTheRiver_1974	Al Green	Take Me to the River	1974	117	TRUE	TRUE	https://www.youtube.com/watch?v=9FBUgdhxe9M
BobDylan_TangledUpInBlue_1975	Bob Dylan	Tangled Up in Blue	1975	68	TRUE	TRUE	https://www.youtube.com/watch?v=YwSZvHqf9qM
EricClapton_TearsInHeaven_1992	Eric Clapton	Tears in Heaven	1992	353	TRUE	TRUE	https://www.youtube.com/watch?v=JxPj3GAYYZ0
BuddyHolly_ThatllBeTheDay_1957	Buddy Holly	That'll Be the Day	1957	39	TRUE	FALSE	https://www.youtube.com/watch?v=eq9FCBatl3A
